tensor(5.3113, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5367, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4679, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4830, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3812, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8845, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3571, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5553, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2416, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4905, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2581, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4450, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4732, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5478, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8482, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3285, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5126, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3885, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4033, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3357, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2287, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6771, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4458, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4203, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1724, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4585, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7211, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3820, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6531, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5011, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1010, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3357, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2192, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3376, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1417, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3747, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5026, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2297, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1898, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6997, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6843, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1936, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4233, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4929, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1310, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2658, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5581, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5287, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3186, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2103, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2174, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0856, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5186, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2716, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0860, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3348, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2359, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4113, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2873, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1757, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2369, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0558, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9686, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9734, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3839, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1850, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6566, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9485, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2153, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1332, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0233, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0987, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3822, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1334, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3758, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0615, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3267, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0987, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5128, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9336, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1052, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0121, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1549, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2635, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3497, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4763, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4191, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2726, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2830, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2104, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2980, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2383, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1137, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5616, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1124, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0252, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9905, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1010, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1835, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1306, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2706, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2414, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9808, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4544, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9712, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1144, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0044, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1401, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2238, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4152, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0913, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9847, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3661, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4853, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1828, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3024, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2034, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2911, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3032, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2391, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9380, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9927, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2499, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1863, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1427, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0907, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1488, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0573, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2153, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0527, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3291, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1546, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4359, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2072, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0344, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5387, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3684, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1434, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5332, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9607, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0181, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2317, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2551, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0452, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4202, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0288, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0075, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1843, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1213, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7139, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0070, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0233, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1010, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4100, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1145, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2096, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1210, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3117, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9722, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3848, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5265, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0928, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0235, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1710, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3049, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3884, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2954, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2790, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2952, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2309, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1678, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1399, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1281, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0968, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2820, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2436, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2623, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1565, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3073, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1230, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0519, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0519, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9508, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0203, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3303, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2430, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0112, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3090, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1363, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9039, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9602, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1100, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9506, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2508, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0731, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8031, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1500, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1736, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0094, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1523, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0011, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1424, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1789, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1436, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9585, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1077, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3318, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1718, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9996, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1286, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0550, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5993, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9420, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9484, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4927, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2787, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1961, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1261, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0963, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2453, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2110, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0394, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9974, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2006, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1758, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1345, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3994, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9650, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1739, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0995, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1957, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2073, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0716, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0072, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3458, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9349, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0242, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1872, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9556, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3318, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0304, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3556, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3367, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1260, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2984, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1060, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0951, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0833, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1884, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1890, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0044, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1594, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2781, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0527, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9574, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2656, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2407, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2767, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9567, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9833, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0298, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0228, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3409, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0851, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9380, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2399, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0899, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1029, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9104, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0164, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0592, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2754, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9242, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3474, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1789, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0957, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4713, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0480, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3868, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1085, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0477, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2798, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1909, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0578, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0156, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0850, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3327, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2406, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1219, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9120, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2417, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0116, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3069, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8932, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1717, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3586, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1358, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0544, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3497, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0237, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1319, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9283, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1776, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1036, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0801, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1651, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1594, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1531, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2253, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3909, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0601, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0016, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4061, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1478, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1559, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9832, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0178, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1343, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1100, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1425, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1256, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1451, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8303, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2881, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2896, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0732, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9875, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2810, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9172, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9166, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1859, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0128, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9944, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0838, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1233, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2600, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2728, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1117, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1253, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2020, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1384, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9305, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0485, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1815, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1416, device='cuda:0', grad_fn=<AddBackward0>)
